input_id	dealiased_id	standard_id	short_id
doi:10.1007/978-0-387-30443-4_10	doi:10.1007/978-0-387-30443-4_10	doi:10.1007/978-0-387-30443-4_10	tgxTBPr
doi:10.21273/HORTSCI.40.6.1620	doi:10.21273/HORTSCI.40.6.1620	doi:10.21273/hortsci.40.6.1620	17l4Xfem9
doi:10/gsg7	doi:10/gsg7	doi:10.1111/nph.16015	AFISuI1C
doi:10.1016/j.molp.2017.09.003	doi:10.1016/j.molp.2017.09.003	doi:10.1016/j.molp.2017.09.003	42uqqDAI
doi:10.1093/nar/gky944	doi:10.1093/nar/gky944	doi:10.1093/nar/gky944	9Tl87cAk
doi:10.1186/s12864-016-3439-y	doi:10.1186/s12864-016-3439-y	doi:10.1186/s12864-016-3439-y	7ixiomhx
doi:10.1038/s41598-017-13216-3	doi:10.1038/s41598-017-13216-3	doi:10.1038/s41598-017-13216-3	1FGV3LKSq
doi:10.1007/s11032-018-0869-z	doi:10.1007/s11032-018-0869-z	doi:10.1007/s11032-018-0869-z	NJ1zzfWj
doi:10.3835/plantgenome2018.10.0082	doi:10.3835/plantgenome2018.10.0082	doi:10.3835/plantgenome2018.10.0082	cccKQqlH
doi:10.1038/s41438-019-0176-9	doi:10.1038/s41438-019-0176-9	doi:10.1038/s41438-019-0176-9	15AR06I5T
doi:10.1534/g3.120.401215	doi:10.1534/g3.120.401215	doi:10.1534/g3.120.401215	AmPX0wxj
doi:10.1016/j.molp.2020.08.011	doi:10.1016/j.molp.2020.08.011	doi:10.1016/j.molp.2020.08.011	we6SIqfY
doi:10.1038/s41438-018-0080-8	doi:10.1038/s41438-018-0080-8	doi:10.1038/s41438-018-0080-8	HsdSI8Y0
doi:10.1111/pbi.13136	doi:10.1111/pbi.13136	doi:10.1111/pbi.13136	BvKcH3LX
doi:abs/10.1080/07352680490490733	doi:abs/10.1080/07352680490490733	doi:abs/10.1080/07352680490490733	vq8Sw1f
doi:10.1007/s10681-015-1605-y	doi:10.1007/s10681-015-1605-y	doi:10.1007/s10681-015-1605-y	UEfO5avO
doi:10.1016/j.ympev.2017.03.002	doi:10.1016/j.ympev.2017.03.002	doi:10.1016/j.ympev.2017.03.002	Ftv0kDE1
doi:10.1093/aob/mcw080	doi:10.1093/aob/mcw080	doi:10.1093/aob/mcw080	50VKpbIa
doi:10.1007/s12231-012-9186-3	doi:10.1007/s12231-012-9186-3	doi:10.1007/s12231-012-9186-3	c4MdYrhq
doi:10.1111/nph.16015	doi:10.1111/nph.16015	doi:10.1111/nph.16015	AFISuI1C
doi	doi	doi	FSDqKxd0
doi:10.1111/pce.12502	doi:10.1111/pce.12502	doi:10.1111/pce.12502	1lHSz5v1
doi:10.1371/journal.pone.0090346	doi:10.1371/journal.pone.0090346	doi:10.1371/journal.pone.0090346	LzyXzJq4
doi:10.1093/bioinformatics/btp324	doi:10.1093/bioinformatics/btp324	doi:10.1093/bioinformatics/btp324	roi5bwXL
doi:10.1093/bioinformatics/btr330	doi:10.1093/bioinformatics/btr330	doi:10.1093/bioinformatics/btr330	PzHxvkzH
doi:10.1186/1471-2105-12-246	doi:10.1186/1471-2105-12-246	doi:10.1186/1471-2105-12-246	9MxZ3Enw
doi:10.1086/519795	doi:10.1086/519795	doi:10.1086/519795	juGWJJrG
doi:10.1371/journal.pone.0156744	doi:10.1371/journal.pone.0156744	doi:10.1371/journal.pone.0156744	I3vP8cpz
doi:10.1186/1471-2164-15-162	doi:10.1186/1471-2164-15-162	doi:10.1186/1471-2164-15-162	A9obAHi0
doi:10.1371/journal.pgen.1005048	doi:10.1371/journal.pgen.1005048	doi:10.1371/journal.pgen.1005048	obxjDYob
doi:10.1186/1471-2156-15-87	doi:10.1186/1471-2156-15-87	doi:10.1186/1471-2156-15-87	15ChEFKjS
doi:10.1177/0049124116638107	doi:10.1177/0049124116638107	doi:10.1177/0049124116638107	1B5fUw44w
doi:10.1534/g3.115.021667	doi:10.1534/g3.115.021667	doi:10.1534/g3.115.021667	bh0NyElc
doi:10.1093/bioinformatics/btm308	doi:10.1093/bioinformatics/btm308	doi:10.1093/bioinformatics/btm308	6BHN02He
doi:10.1093/bioinformatics/btz567	doi:10.1093/bioinformatics/btz567	doi:10.1093/bioinformatics/btz567	15kdHXrSp
doi:10.1371/journal.pone.0181420	doi:10.1371/journal.pone.0181420	doi:10.1371/journal.pone.0181420	1BZpw3PUi
doi:10.1186/s12864-015-2312-8	doi:10.1186/s12864-015-2312-8	doi:10.1186/s12864-015-2312-8	hjX723Qb
doi:10.1186/s12284-019-0311-0	doi:10.1186/s12284-019-0311-0	doi:10.1186/s12284-019-0311-0	w9iJFFjP
doi:10.1093/genetics/157.4.1819	doi:10.1093/genetics/157.4.1819	doi:10.1093/genetics/157.4.1819	zuq8ri4R
doi:doi.org/10.3390/agronomy10060847	doi:doi.org/10.3390/agronomy10060847	doi:doi.org/10.3390/agronomy10060847	1Bk2DOimZ
doi:10.3389/fpls.2020.00353	doi:10.3389/fpls.2020.00353	doi:10.3389/fpls.2020.00353	6QvaEUvI
doi:10.21273/HORTSCI10987-16	doi:10.21273/HORTSCI10987-16	doi:10.21273/hortsci10987-16	1djkZ3cX
doi:10.1007/s00122-020-03747-1	doi:10.1007/s00122-020-03747-1	doi:10.1007/s00122-020-03747-1	19dH3oEl
doi:10.21273/HORTTECH04636-20	doi:10.21273/HORTTECH04636-20	doi:10.21273/horttech04636-20	1Fqob4Pjw
doi:10.1111/pce.13844	doi:10.1111/pce.13844	doi:10.1111/pce.13844	mlGzjIQ0
